experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3316,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.91181e-09,-2.91181e-09,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.91181e-09,2.91181e-09,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3316,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.91181e-09,2.91181e-09,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.91181e-09,-2.91181e-09,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.34,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.7597e-09,-2.7597e-09,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.7597e-09,2.7597e-09,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.34,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.7597e-09,2.7597e-09,0.0482732,2.26713e-12,0.3,0.0482732,2.41098e-12,0.3,-0.251727,-0.251727,-2.7597e-09,-2.7597e-09,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3488,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,2.41098e-12,0.3,-0.251727,-0.251727,-2.6168e-09,-2.6168e-09,0.0482733,2.26713e-12,0.3,0.0482733,2.41098e-12,0.3,-0.251727,-0.251727,-2.6168e-09,2.6168e-09,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3488,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,2.41098e-12,0.3,-0.251727,-0.251727,-2.6168e-09,2.6168e-09,0.0482733,2.26713e-12,0.3,0.0482733,2.41098e-12,0.3,-0.251727,-0.251727,-2.6168e-09,-2.6168e-09,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3316,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.724803,0.199261,2.24437e-14,0.3,0.198903,2.41956e-14,0.3,-0.100739,-0.101097,-0.000357563,-0.000357563,0.199261,2.24437e-14,0.3,0.198903,2.41956e-14,0.3,-0.100739,-0.101097,-0.000357563,0.000357563,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3316,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.724803,0.199261,2.24437e-14,0.3,0.198903,2.41956e-14,0.3,-0.100739,-0.101097,-0.000357563,0.000357563,0.199261,2.24437e-14,0.3,0.198903,2.41956e-14,0.3,-0.100739,-0.101097,-0.000357563,-0.000357563,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.724803,0.207207,2.24437e-14,0.3,0.206833,2.41956e-14,0.3,-0.092793,-0.093167,-0.000373943,-0.000373943,0.207207,2.24437e-14,0.3,0.206833,2.41956e-14,0.3,-0.092793,-0.093167,-0.000373943,0.000373943,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.724803,0.207207,2.24437e-14,0.3,0.206833,2.41956e-14,0.3,-0.092793,-0.093167,-0.000373943,0.000373943,0.207207,2.24437e-14,0.3,0.206833,2.41956e-14,0.3,-0.092793,-0.093167,-0.000373943,-0.000373943,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3488,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.724803,0.213369,2.24437e-14,0.3,0.213362,2.41956e-14,0.3,-0.0866311,-0.0866381,-6.94996e-06,-6.94996e-06,0.213369,2.24437e-14,0.3,0.213362,2.41956e-14,0.3,-0.0866311,-0.0866381,-6.94996e-06,6.94996e-06,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3488,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.724803,0.213369,2.24437e-14,0.3,0.213362,2.41956e-14,0.3,-0.0866311,-0.0866381,-6.94996e-06,6.94996e-06,0.213369,2.24437e-14,0.3,0.213362,2.41956e-14,0.3,-0.0866311,-0.0866381,-6.94996e-06,-6.94996e-06,True,False,False
